Protein,GN,Species
Q9BZK7,TBL1XR1,Homo sapiens
A0A0A0MT78,TRBJ2-7,Homo sapiens
O60220,TIMM8A,Homo sapiens
P50990,CCT8,Homo sapiens
Q8IYF3,TEX11,Homo sapiens
Q5VWI1,TCERG1L,Homo sapiens
Q8WY91,THAP4,Homo sapiens
Q5SRD1,TIMM23B,Homo sapiens
Q9Y4R8,TELO2,Homo sapiens
Q13009,TIAM1,Homo sapiens
P22105,TNXB,Homo sapiens
A6NDI0,TRIM49B,Homo sapiens
P06753,TPM3,Homo sapiens
Q9Y3B3,TMED7,Homo sapiens
C9J1S8,TRIM49D1,Homo sapiens
P49755,TMED10,Homo sapiens
Q12899,TRIM26,Homo sapiens
O60296,TRAK2,Homo sapiens
Q7L0X0,TRIL,Homo sapiens
Q8N2M4,TMEM86A,Homo sapiens
Q9UPQ9,TNRC6B,Homo sapiens
Q7Z5M5,TMC3,Homo sapiens
O95407,TNFRSF6B,Homo sapiens
A6NEH6,TMEM247,Homo sapiens
O95150,TNFSF15,Homo sapiens
Q9H6L2,TMEM231,Homo sapiens
A0A087WT02,TRAV9-2,Homo sapiens
P33981,TTK,Homo sapiens
Q6ZT98,TTLL7,Homo sapiens
Q14166,TTLL12,Homo sapiens
Q9BZA0,TTTY10,Homo sapiens
Q96F44,TRIM11,Homo sapiens
Q9HBA0,TRPV4,Homo sapiens
Q9NQE7,PRSS16,Homo sapiens
Q15672,TWIST1,Homo sapiens
Q8NG11,TSPAN14,Homo sapiens
Q96PN8,TSSK3,Homo sapiens
Q5JXB2,UBE2NL,Homo sapiens
P50552,VASP,Homo sapiens
Q9GZS3,WDR61,Homo sapiens
Q6UXR6,UNQ6494/PRO21346,Homo sapiens
P17027,ZNF23,Homo sapiens
A8MXY4,ZNF99,Homo sapiens
Q969W1,ZDHHC16,Homo sapiens
Q9H0M4,ZCWPW1,Homo sapiens
Q6ZRN7,,Homo sapiens
Q8N680,ZBTB2,Homo sapiens
Q5SVQ8,ZBTB41,Homo sapiens
A8MWA4,ZNF705E,Homo sapiens
Q8ND25,ZNRF1,Homo sapiens
P43403,ZAP70,Homo sapiens
Q9C0B5,ZDHHC5,Homo sapiens
A0A1B0GTU1,ZC3H11B,Homo sapiens
Q8WW36,ZCCHC13,Homo sapiens
Q8N2I2,ZNF619,Homo sapiens
Q6ZRU5,,Homo sapiens
Q9H7R5,ZNF665,Homo sapiens
Q86T29,ZNF605,Homo sapiens
Q8N9W7,,Homo sapiens
Q5T7W0,ZNF618,Homo sapiens
Q969J2,ZKSCAN4,Homo sapiens
Q8IZ20,ZNF683,Homo sapiens
Q03924,ZNF117,Homo sapiens
Q5SXM1,ZNF678,Homo sapiens
Q14590,ZNF235,Homo sapiens
Q9Y2Q1,ZNF257,Homo sapiens
Q92670,ZNF75CP,Homo sapiens
Q9NTW7,ZFP64,Homo sapiens
Q14587,ZNF268,Homo sapiens
Q8NB50,ZFP62,Homo sapiens
Q9UK13,ZNF221,Homo sapiens
Q8TBZ5,ZNF502,Homo sapiens
Q6ZNA1,ZNF836,Homo sapiens
Q9C0D3,ZYG11B,Homo sapiens
Q9UGI0,ZRANB1,Homo sapiens
Q92610,ZNF592,Homo sapiens
Q8N859,ZNF713,Homo sapiens
Q9BV44,THUMPD3,Homo sapiens
Q96FV9,THOC1,Homo sapiens
P35590,TIE1,Homo sapiens
Q96HH6,TMEM19,Homo sapiens
Q6PEY1,TMEM88,Homo sapiens
Q9BUB7,TMEM70,Homo sapiens
Q92752,TNR,Homo sapiens
Q7RTY8,TMPRSS7,Homo sapiens
A0JD36,TRDV2,Homo sapiens
O94876,TMCC1,Homo sapiens
P36406,TRIM23,Homo sapiens
P40225,THPO,Homo sapiens
Q14669,TRIP12,Homo sapiens
Q8N9V2,TRIML1,Homo sapiens
Q9NWC5,TMEM45A,Homo sapiens
Q96IK0,TMEM101,Homo sapiens
P56557,TMEM50B,Homo sapiens
Q7Z392,TRAPPC11,Homo sapiens
P00750,PLAT,Homo sapiens
Q9BU79,TMEM243,Homo sapiens
Q5VVB8,TMEM244,Homo sapiens
A0A0A6YYK7,TRAV19,Homo sapiens
Q6P589,TNFAIP8L2,Homo sapiens
Q9HCJ0,TNRC6C,Homo sapiens
Q8NBN3,TMEM87A,Homo sapiens
Q9Y4G6,TLN2,Homo sapiens
Q9BTX3,TMEM208,Homo sapiens
Q9C0B7,TANGO6,Homo sapiens
Q5T292,TMEM273,Homo sapiens
A0A075B6L6,TRBV7-3,Homo sapiens
Q96QT4,TRPM7,Homo sapiens
Q8NHM4,PRSS3P2,Homo sapiens
A0A0B4J245,TRAV12-1,Homo sapiens
O95900,TRUB2,Homo sapiens
Q9UHF7,TRPS1,Homo sapiens
P51784,USP11,Homo sapiens
Q8TAS1,UHMK1,Homo sapiens
P54578,USP14,Homo sapiens
Q14119,VEZF1,Homo sapiens
O75379,VAMP4,Homo sapiens
O75191,XYLB,Homo sapiens
P56705,WNT4,Homo sapiens
Q6P4I2,WDR73,Homo sapiens
Q99986,VRK1,Homo sapiens
A4UGR9,XIRP2,Homo sapiens
Q8N5D0,WDTC1,Homo sapiens
O43516,WIPF1,Homo sapiens
Q9BRG1,VPS25,Homo sapiens
Q9P2L0,WDR35,Homo sapiens
P63129,ERVK-24,Homo sapiens
Q8IZQ1,WDFY3,Homo sapiens
Q9H7D7,WDR26,Homo sapiens
P10265,ERVK-10,Homo sapiens
Q9NW82,WDR70,Homo sapiens
A8MV72,,Homo sapiens
P49750,YLPM1,Homo sapiens
P17021,ZNF17,Homo sapiens
Q6ZTR6,ZNF516-DT,Homo sapiens
Q9P1D8,PRO2289,Homo sapiens
P17035,ZNF28,Homo sapiens
Q8WTX9,ZDHHC1,Homo sapiens
P15621,ZNF44,Homo sapiens
Q9Y2K1,ZBTB1,Homo sapiens
O15060,ZBTB39,Homo sapiens
Q5W0Z9,ZDHHC20,Homo sapiens
Q9P2E3,ZNFX1,Homo sapiens
O14863,SLC30A4,Homo sapiens
Q8N8P6,,Homo sapiens
Q68DY1,ZNF626,Homo sapiens
P31629,HIVEP2,Homo sapiens
Q96NC0,ZMAT2,Homo sapiens
Q8N8J6,ZNF615,Homo sapiens
Q12901,ZNF155,Homo sapiens
Q9UID6,ZNF639,Homo sapiens
P58317,ZNF121,Homo sapiens
Q86XN6,ZNF761,Homo sapiens
Q9NYT6,ZNF226,Homo sapiens
O94892,ZNF432,Homo sapiens
Q8TAU3,ZNF417,Homo sapiens
A6NJL1,ZSCAN5B,Homo sapiens
Q9GZX5,ZNF350,Homo sapiens
O43309,ZSCAN12,Homo sapiens
Q5T742,ZNF22-AS1,Homo sapiens
P0C880,,Homo sapiens
Q9HCJ5,ZSWIM6,Homo sapiens
Q2TB10,ZNF800,Homo sapiens
Q86TJ5,ZNF554,Homo sapiens
P98169,ZXDB,Homo sapiens
Q96NG5,ZNF558,Homo sapiens
O75478,TADA2A,Homo sapiens
Q15573,TAF1A,Homo sapiens
Q9UGM6,WARS2,Homo sapiens
Q9NY65,TUBA8,Homo sapiens
Q96DZ7,TM4SF19,Homo sapiens
P30408,TM4SF1,Homo sapiens
Q9BT88,SYT11,Homo sapiens
Q9P1P5,TAAR2,Homo sapiens
Q7Z5A9,TAFA1,Homo sapiens
Q9BVV6,KIAA0586,Homo sapiens
Q86UD7,TBC1D26,Homo sapiens
Q9BVA1,TUBB2B,Homo sapiens
Q9BUF5,TUBB6,Homo sapiens
Q9Y5L4,TIMM13,Homo sapiens
P61812,TGFB2,Homo sapiens
Q86SX3,TEDC1,Homo sapiens
P0DJG4,THEGL,Homo sapiens
Q9NXG2,THUMPD1,Homo sapiens
Q14186,TFDP1,Homo sapiens
O14776,TCERG1,Homo sapiens
Q7RTU1,TCF23,Homo sapiens
O75896,TUSC2,Homo sapiens
O00295,TULP2,Homo sapiens
O43156,TTI1,Homo sapiens
Q8WU66,TSPEAR,Homo sapiens
Q9H0U9,TSPYL1,Homo sapiens
O60701,UGDH,Homo sapiens
P51965,UBE2E1,Homo sapiens
Q05086,UBE3A,Homo sapiens
Q9P2K2,TXNDC16,Homo sapiens
Q9Y6I4,USP3,Homo sapiens
P68543,UBXN2A,Homo sapiens
Q93009,USP7,Homo sapiens
P16989,YBX3,Homo sapiens
P58557,YBEY,Homo sapiens
Q75L30,,Homo sapiens
Q9H171,ZBP1,Homo sapiens
Q49AG3,ZBED5,Homo sapiens
Q86Y25,ZNF354C,Homo sapiens
Q86YH2,ZNF280B,Homo sapiens
P61129,ZC3H6,Homo sapiens
Q8TAD4,SLC30A5,Homo sapiens
A8MWP4,,Homo sapiens
Q9Y6X8,ZHX2,Homo sapiens
Q9NQZ6,ZC4H2,Homo sapiens
Q8N883,ZNF614,Homo sapiens
Q7L945,ZNF627,Homo sapiens
Q15915,ZIC1,Homo sapiens
Q6UXP9,UNQ9370/PRO34162,Homo sapiens
Q6ZS27,ZNF662,Homo sapiens
Q8NDX6,ZNF740,Homo sapiens
Q8NA42,ZNF383,Homo sapiens
Q9UK10,ZNF225,Homo sapiens
Q8N8H1,ZNF321P,Homo sapiens
Q15911,ZFHX3,Homo sapiens
Q96B54,ZNF428,Homo sapiens
O43264,ZW10,Homo sapiens
C9JLR9,ZFTA,Homo sapiens
P16415,ZNF823,Homo sapiens
Q86W11,ZSCAN30,Homo sapiens
Q8N4W9,ZNF808,Homo sapiens
Q07157,TJP1,Homo sapiens
Q2QGD7,ZXDC,Homo sapiens
O43193,MLNR,Homo sapiens
A6NIJ9,OR6C70,Homo sapiens
Q8N127,OR5AS1,Homo sapiens
Q9H4B0,OSGEPL1,Homo sapiens
O95158,NXPH4,Homo sapiens
Q8NGS5,OR13C4,Homo sapiens
Q7RTS6,OTOP2,Homo sapiens
Q9HC10,OTOF,Homo sapiens
Q8NHC5,OR14A16,Homo sapiens
Q86XP0,PLA2G4D,Homo sapiens
Q8N5Y8,PARP16,Homo sapiens
Q8NGI7,OR10V1,Homo sapiens
Q96C36,PYCR2,Homo sapiens
P23760,PAX3,Homo sapiens
Q9BTU6,PI4K2A,Homo sapiens
Q8IYB4,PEX5L,Homo sapiens
Q96BD5,PHF21A,Homo sapiens
Q32ZL2,PLPPR5,Homo sapiens
P09086,POU2F2,Homo sapiens
Q00G26,PLIN5,Homo sapiens
Q9P1A2,PPP4R1L,Homo sapiens
Q9HDD0,PLAAT1,Homo sapiens
P01833,PIGR,Homo sapiens
Q96T49,PPP1R16B,Homo sapiens
Q15147,PLCB4,Homo sapiens
P25786,PSMA1,Homo sapiens
P07225,PROS1,Homo sapiens
Q92535,PIGC,Homo sapiens
P36873,PPP1CC,Homo sapiens
Q92733,PRCC,Homo sapiens
Q16821,PPP1R3A,Homo sapiens
Q5VV67,PPRC1,Homo sapiens
Q96BW5,PTER,Homo sapiens
P26045,PTPN3,Homo sapiens
P30050,RPL12,Homo sapiens
P62829,RPL23,Homo sapiens
Q13129,RLF,Homo sapiens
P51991,HNRNPA3,Homo sapiens
O60518,RANBP6,Homo sapiens
Q96EP0,RNF31,Homo sapiens
Q9H9Y6,POLR1B,Homo sapiens
Q9H6T3,RPAP3,Homo sapiens
Q9BRJ2,MRPL45,Homo sapiens
P0DPB5,POLR1D,Homo sapiens
P78346,RPP30,Homo sapiens
P22090,RPS4Y1,Homo sapiens
Q7LBE3,SLC26A9,Homo sapiens
P0DKV0,SPATA31C1,Homo sapiens
Q14542,SLC29A2,Homo sapiens
P62306,SNRPF,Homo sapiens
Q8IUI4,SNX29P2,Homo sapiens
Q01118,SCN7A,Homo sapiens
Q9Y675,SNURF,Homo sapiens
Q08629,SPOCK1,Homo sapiens
O75940,SMNDC1,Homo sapiens
Q8TER0,SNED1,Homo sapiens
P0DUD2,SPDYE17,Homo sapiens
Q6ZQN7,SLCO4C1,Homo sapiens
Q9H4L7,SMARCAD1,Homo sapiens
Q8NDV1,ST6GALNAC3,Homo sapiens
Q06945,SOX4,Homo sapiens
O14512,SOCS7,Homo sapiens
Q16842,ST3GAL2,Homo sapiens
Q53HV7,SMUG1,Homo sapiens
P08294,SOD3,Homo sapiens
Q2TAL5,SMTNL2,Homo sapiens
Q9NXA8,SIRT5,Homo sapiens
Q96DU3,SLAMF6,Homo sapiens
Q9H0E3,SAP130,Homo sapiens
P35713,SOX18,Homo sapiens
P54920,NAPA,Homo sapiens
Q9NQ25,SLAMF7,Homo sapiens
Q7M4L6,SHF,Homo sapiens
P0DL12,SMIM17,Homo sapiens
Q8WV19,SFT2D1,Homo sapiens
A0PJX4,SHISA3,Homo sapiens
Q7Z3B0,SMIM15,Homo sapiens
Q96EX1,SMIM12,Homo sapiens
Q99954,SMR3A,Homo sapiens
Q9UGK8,SERGEF,Homo sapiens
Q7Z6B7,SRGAP1,Homo sapiens
Q7RTT5,SSX7,Homo sapiens
Q16384,SSX1,Homo sapiens
Q8WYL5,SSH1,Homo sapiens
Q8TCJ2,STT3B,Homo sapiens
Q99469,STAC,Homo sapiens
Q5VX71,SUSD4,Homo sapiens
P02549,SPTA1,Homo sapiens
Q9NQZ5,STARD7,Homo sapiens
P0DMP2,SRGAP2B,Homo sapiens
P0DJJ0,SRGAP2C,Homo sapiens
Q8IWL8,STH,Homo sapiens
Q76I76,SSH2,Homo sapiens
Q86V20,SHLD2,Homo sapiens
P50607,TUB,Homo sapiens
P52630,STAT2,Homo sapiens
Q9NNX1,TUFT1,Homo sapiens
O00294,TULP1,Homo sapiens
Q9Y606,PUS1,Homo sapiens
Q7L1I2,SV2B,Homo sapiens
O43610,SPRY3,Homo sapiens
Q9C004,SPRY4,Homo sapiens
A6NEL2,SOWAHB,Homo sapiens
Q96SB4,SRPK1,Homo sapiens
Q8TC36,SUN5,Homo sapiens
E0CX11,STMP1,Homo sapiens
Q7Z698,SPRED2,Homo sapiens
P35326,SPRR2A,Homo sapiens
Q9BYE4,SPRR2G,Homo sapiens
Q99611,SEPHS2,Homo sapiens
Q9Y285,FARSA,Homo sapiens
Q96GW9,MARS2,Homo sapiens
O14604,TMSB4Y,Homo sapiens
P09923,ALPI,Homo sapiens
Q14442,PIGH,Homo sapiens
Q99935,OPRPN,Homo sapiens
Q6UWY2,PRSS57,Homo sapiens
A4D1T9,PRSS37,Homo sapiens
P86478,PRR20E,Homo sapiens
A6NEV1,PRR23A,Homo sapiens
Q5JR12,PPM1J,Homo sapiens
P30520,ADSS2,Homo sapiens
Q8WXF1,PSPC1,Homo sapiens
Q969U7,PSMG2,Homo sapiens
P51665,PSMD7,Homo sapiens
O60216,RAD21,Homo sapiens
Q9HBH5,RDH14,Homo sapiens
Q86U06,RBM23,Homo sapiens
Q6UX71,PLXDC2,Homo sapiens
Q7RTV5,PRXL2C,Homo sapiens
P53805,RCAN1,Homo sapiens
P29373,CRABP2,Homo sapiens
P10826,RARB,Homo sapiens
O00194,RAB27B,Homo sapiens
P0C881,RSPH10B,Homo sapiens
Q96PK6,RBM14,Homo sapiens
P78406,RAE1,Homo sapiens
Q7Z6P3,RAB44,Homo sapiens
Q96B01,RAD51AP1,Homo sapiens
Q06587,RING1,Homo sapiens
Q6PJF5,RHBDF2,Homo sapiens
P0C7M4,RHOXF2B,Homo sapiens
P78563,ADARB1,Homo sapiens
A6NKH3,RPL37AP8,Homo sapiens
Q9H9A7,RMI1,Homo sapiens
P07998,RNASE1,Homo sapiens
Q96MT1,RNF145,Homo sapiens
Q9NVW2,RLIM,Homo sapiens
Q8IUD6,RNF135,Homo sapiens
Q96PX1,RNF157,Homo sapiens
Q9H4P4,RNF41,Homo sapiens
Q8IWN7,RP1L1,Homo sapiens
Q5VYX0,RNLS,Homo sapiens
P05423,POLR3D,Homo sapiens
Q5K4L6,SLC27A3,Homo sapiens
Q6UXX9,RSPO2,Homo sapiens
Q9BS91,SLC35A5,Homo sapiens
Q99584,S100A13,Homo sapiens
P60903,S100A10,Homo sapiens
Q9UKG4,SLC13A4,Homo sapiens
P82914,MRPS15,Homo sapiens
Q16348,SLC15A2,Homo sapiens
Q6ZNE9,RUFY4,Homo sapiens
O75528,TADA3,Homo sapiens
Q96NL0,RUNDC3B,Homo sapiens
Q9ULF5,SLC39A10,Homo sapiens
Q9Y2H2,INPP5F,Homo sapiens
Q5SSQ6,SAPCD1,Homo sapiens
P0C7V7,SEC11B,Homo sapiens
Q68CR1,SEL1L3,Homo sapiens
Q9UBV2,SEL1L,Homo sapiens
Q9NY91,SLC5A4,Homo sapiens
Q9BXA9,SALL3,Homo sapiens
Q96I15,SCLY,Homo sapiens
Q5TG53,SERTAD4-AS1,Homo sapiens
Q9BV35,SLC25A23,Homo sapiens
O00631,SLN,Homo sapiens
O94979,SEC31A,Homo sapiens
P23526,AHCY,Homo sapiens
Q8IWT1,SCN4B,Homo sapiens
Q6ZMJ2,SCARA5,Homo sapiens
P48061,CXCL12,Homo sapiens
Q96LD8,SENP8,Homo sapiens
Q15637,SF1,Homo sapiens
Q9Y5X1,SNX9,Homo sapiens
O95219,SNX4,Homo sapiens
Q8TDD2,SP7,Homo sapiens
Q8WXH5,SOCS4,Homo sapiens
Q9H115,NAPB,Homo sapiens
Q96B97,SH3KBP1,Homo sapiens
Q9HAT2,SIAE,Homo sapiens
Q5JUX0,SPIN3,Homo sapiens
Q8TBC3,SHKBP1,Homo sapiens
Q2NKQ1,SGSM1,Homo sapiens
Q96JF0,ST6GAL2,Homo sapiens
A6NJY1,SLC9B1P1,Homo sapiens
Q8TD33,SCGB1C1,Homo sapiens
O15105,SMAD7,Homo sapiens
O43147,SGSM2,Homo sapiens
A6NJ88,SAGE2P,Homo sapiens
Q3B7S5,SMIM21,Homo sapiens
Q8TD22,SFXN5,Homo sapiens
P0CL83,STAG3L1,Homo sapiens
Q9Y2M2,SSUH2,Homo sapiens
Q9UHB9,SRP68,Homo sapiens
P0DMN0,SULT1A4,Homo sapiens
Q96SI9,STRBP,Homo sapiens
Q9ULQ0,STRIP2,Homo sapiens
P12931,SRC,Homo sapiens
Q8NHX4,SPATA3,Homo sapiens
P08842,STS,Homo sapiens
Q86Y82,STX12,Homo sapiens
Q9NQ55,PPAN,Homo sapiens
Q8IYB8,SUPV3L1,Homo sapiens
P81877,SSBP2,Homo sapiens
Q5MJ07,SPANXN5,Homo sapiens
Q6PJ21,SPSB3,Homo sapiens
Q9UBC9,SPRR3,Homo sapiens
Q5R3I4,TTC38,Homo sapiens
Q6GTS8,PM20D1,Homo sapiens
Q13492,PICALM,Homo sapiens
Q96T60,PNKP,Homo sapiens
Q9NWQ8,PAG1,Homo sapiens
Q9H814,PHAX,Homo sapiens
Q9BZG2,ACP4,Homo sapiens
Q02325,PLGLB1,Homo sapiens
Q96I23,PYURF,Homo sapiens
Q86YN6,PPARGC1B,Homo sapiens
Q13522,PPP1R1A,Homo sapiens
O96001,PPP1R17,Homo sapiens
Q99436,PSMB7,Homo sapiens
P28072,PSMB6,Homo sapiens
Q5R3F8,ELFN2,Homo sapiens
Q06830,PRDX1,Homo sapiens
O75569,PRKRA,Homo sapiens
Q9UQK1,PPP1R3C,Homo sapiens
P20962,PTMS,Homo sapiens
Q8N8N7,PTGR2,Homo sapiens
Q03431,PTH1R,Homo sapiens
Q14691,GINS1,Homo sapiens
Q6ZMN7,PDZRN4,Homo sapiens
P20336,RAB3A,Homo sapiens
P09651,HNRNPA1,Homo sapiens
Q9Y4L5,RNF115,Homo sapiens
Q9Y2J0,RPH3A,Homo sapiens
M0QZC1,RNF225,Homo sapiens
Q9BZX4,ROPN1B,Homo sapiens
Q16540,MRPL23,Homo sapiens
P49406,MRPL19,Homo sapiens
Q9NRX2,MRPL17,Homo sapiens
Q9P2E9,RRBP1,Homo sapiens
Q96FB5,RRNAD1,Homo sapiens
P63220,RPS21,Homo sapiens
Q9Y2D2,SLC35A3,Homo sapiens
P28702,RXRB,Homo sapiens
Q495M3,SLC36A2,Homo sapiens
Q96DX8,RTP4,Homo sapiens
Q5TEA6,SEL1L2,Homo sapiens
O15027,SEC16A,Homo sapiens
Q5K651,SAMD9,Homo sapiens
P13866,SLC5A1,Homo sapiens
Q01826,SATB1,Homo sapiens
Q9Y2G9,SBNO2,Homo sapiens
Q9Y6P5,SESN1,Homo sapiens
P31645,SLC6A4,Homo sapiens
P59797,SELENOV,Homo sapiens
P49908,SELENOP,Homo sapiens
O94964,SOGA1,Homo sapiens
P22307,SCP2,Homo sapiens
Q9NXL6,SIDT1,Homo sapiens
P50453,SERPINB9,Homo sapiens
Q5VVC0,SPO16,Homo sapiens
Q92581,SLC9A6,Homo sapiens
Q6UWV7,SHISAL2A,Homo sapiens
Q9H299,SH3BGRL3,Homo sapiens
P29353,SHC1,Homo sapiens
Q1XH10,SKIDA1,Homo sapiens
Q8WWL2,SPIRE2,Homo sapiens
Q96BD8,SKA1,Homo sapiens
Q6P4A7,SFXN4,Homo sapiens
H3BMG3,SMKR1,Homo sapiens
Q16637,SMN1,Homo sapiens
Q96DD7,SHISA4,Homo sapiens
Q5T5C0,STXBP5,Homo sapiens
O00193,SMAP,Homo sapiens
P36956,SREBF1,Homo sapiens
O15269,SPTLC1,Homo sapiens
Q9H5I1,SUV39H2,Homo sapiens
Q04837,SSBP1,Homo sapiens
Q9BWG4,SSBP4,Homo sapiens
Q86WV6,STING1,Homo sapiens
Q05519,SRSF11,Homo sapiens
Q9NUQ6,SPATS2L,Homo sapiens
O95363,FARS2,Homo sapiens
Q5JPH6,EARS2,Homo sapiens
A8MT33,SYCE1L,Homo sapiens
O43426,SYNJ1,Homo sapiens
Q9NR12,PDLIM7,Homo sapiens
Q8WWB5,PIH1D2,Homo sapiens
P23284,PPIB,Homo sapiens
Q9H7J1,PPP1R3E,Homo sapiens
O95521,PRAMEF1,Homo sapiens
Q9UKA9,PTBP2,Homo sapiens
P32119,PRDX2,Homo sapiens
Q13308,PTK7,Homo sapiens
Q14671,PUM1,Homo sapiens
P21246,PTN,Homo sapiens
Q16849,PTPRN,Homo sapiens
O00487,PSMD14,Homo sapiens
Q9BRX5,GINS3,Homo sapiens
Q9NXS2,QPCTL,Homo sapiens
Q9NYR8,RDH8,Homo sapiens
P61572,ERVK-19,Homo sapiens
Q9H6W3,RIOX1,Homo sapiens
O75916,RGS9,Homo sapiens
P35250,RFC2,Homo sapiens
O75818,RPP40,Homo sapiens
Q9Y3A4,RRP7A,Homo sapiens
Q9H0K4,RSPH6A,Homo sapiens
Q71UM5,RPS27L,Homo sapiens
Q8NG04,SLC26A10,Homo sapiens
P63162,SNRPN,Homo sapiens
Q9NQZ2,UTP3,Homo sapiens
O60939,SCN2B,Homo sapiens
P48067,SLC6A9,Homo sapiens
Q8IZQ5,SELENOH,Homo sapiens
Q9UGP8,SEC63,Homo sapiens
Q9UPN6,SCAF8,Homo sapiens
Q6ZPB5,SDIM1,Homo sapiens
Q15047,SETDB1,Homo sapiens
Q6P3W7,SCYL2,Homo sapiens
O00560,SDCBP,Homo sapiens
P61009,SPCS3,Homo sapiens
Q08ET2,SIGLEC14,Homo sapiens
Q6UW49,SPESP1,Homo sapiens
Q496A3,SPATS1,Homo sapiens
P57768,SNX16,Homo sapiens
Q9UIV8,SERPINB13,Homo sapiens
Q9NPD5,SLCO1B3,Homo sapiens
Q6ZMY3,SPOCD1,Homo sapiens
Q11206,ST3GAL4,Homo sapiens
Q9HCE7,SMURF1,Homo sapiens
Q9Y651,SOX21,Homo sapiens
Q96A28,SLAMF9,Homo sapiens
Q96ES7,SGF29,Homo sapiens
Q13326,SGCG,Homo sapiens
Q9UQ13,SHOC2,Homo sapiens
Q9NP31,SH2D2A,Homo sapiens
A0MZ66,SHTN1,Homo sapiens
Q8IYB5,SMAP1,Homo sapiens
Q8WVI0,SMIM4,Homo sapiens
P42224,STAT1,Homo sapiens
Q9NRC6,SPTBN5,Homo sapiens
P31948,STIP1,Homo sapiens
Q496J9,SV2C,Homo sapiens
Q13277,STX3,Homo sapiens
Q5MJ08,SPANXN4,Homo sapiens
Q7L0J3,SV2A,Homo sapiens
Q9BXB7,SPATA16,Homo sapiens
Q9NZ72,STMN3,Homo sapiens
P60508,ERVFRD-1,Homo sapiens
O15056,SYNJ2,Homo sapiens
Q16635,TAZ,Homo sapiens
Q9Y2Z4,YARS2,Homo sapiens
O75529,TAF5L,Homo sapiens
P48230,TM4SF4,Homo sapiens
O14804,TAAR5,Homo sapiens
Q9BXJ8,TMEM120A,Homo sapiens
P62195,PSMC5,Homo sapiens
Q01970,PLCB3,Homo sapiens
A5PKW4,PSD,Homo sapiens
P48556,PSMD8,Homo sapiens
Q9HAZ2,PRDM16,Homo sapiens
Q8IYL9,GPR65,Homo sapiens
P11217,PYGM,Homo sapiens
Q8TE99,PXYLP1,Homo sapiens
Q92781,RDH5,Homo sapiens
P51148,RAB5C,Homo sapiens
Q9UKA8,RCAN3,Homo sapiens
Q93062,RBPMS,Homo sapiens
Q8TDY2,RB1CC1,Homo sapiens
Q9P0K7,RAI14,Homo sapiens
P35241,RDX,Homo sapiens
O15258,RER1,Homo sapiens
P58872,RHBDL3,Homo sapiens
Q6ZS11,RINL,Homo sapiens
Q2M1Z3,ARHGAP31,Homo sapiens
Q92900,UPF1,Homo sapiens
O14827,RASGRF2,Homo sapiens
Q14CB8,ARHGAP19,Homo sapiens
P62913,RPL11,Homo sapiens
O43159,RRP8,Homo sapiens
P46782,RPS5,Homo sapiens
P61247,RPS3A,Homo sapiens
A6NDD5,SYNDIG1L,Homo sapiens
Q96K37,SLC35E1,Homo sapiens
Q8N357,SLC35F6,Homo sapiens
Q16799,RTN1,Homo sapiens
P59025,RTP1,Homo sapiens
P31949,S100A11,Homo sapiens
Q86VV8,RTTN,Homo sapiens
Q9H2X9,SLC12A5,Homo sapiens
Q4U2R8,SLC22A6,Homo sapiens
Q96GA7,SDSL,Homo sapiens
Q9UPW6,SATB2,Homo sapiens
Q8IX30,SCUBE3,Homo sapiens
Q96NL6,SCLT1,Homo sapiens
Q8N695,SLC5A8,Homo sapiens
Q9Y3A5,SBDS,Homo sapiens
Q86VW0,SESTD1,Homo sapiens
P0DJI8,SAA1,Homo sapiens
Q9Y6D0,SELENOK,Homo sapiens
Q5VUM1,SDHAF4,Homo sapiens
Q9NVD3,SETD4,Homo sapiens
Q92854,SEMA4D,Homo sapiens
Q9H7N4,SCAF1,Homo sapiens
Q15019,SEPTIN2,Homo sapiens
Q7Z333,SETX,Homo sapiens
Q6ZVN7,SEM1,Homo sapiens
Q02383,SEMG2,Homo sapiens
Q9P283,SEMA5B,Homo sapiens
Q9BSV6,TSEN34,Homo sapiens
Q8NCE0,TSEN2,Homo sapiens
Q53EL9,SEZ6,Homo sapiens
Q9P0V9,SEPTIN10,Homo sapiens
P57086,SCAND1,Homo sapiens
Q9NQF3,SERHL,Homo sapiens
P51168,SCNN1B,Homo sapiens
A6NMB1,SIGLEC16,Homo sapiens
Q9C093,SPEF2,Homo sapiens
A0A494C191,SPDYE9,Homo sapiens
Q9HBM1,SPC25,Homo sapiens
Q9H2G2,SLK,Homo sapiens
Q9Y5X2,SNX8,Homo sapiens
Q8TEQ0,SNX29,Homo sapiens
Q9BQ15,NABP2,Homo sapiens
Q8N5J4,SPIC,Homo sapiens
P35247,SFTPD,Homo sapiens
Q6PDA7,SPAG11A,Homo sapiens
A6NLE4,SMIM23,Homo sapiens
Q9H106,SIRPD,Homo sapiens
Q96HG1,SMIM10,Homo sapiens
P0DMW3,SMIM10L1,Homo sapiens
Q9UHJ6,SHPK,Homo sapiens
Q9H0W8,SMG9,Homo sapiens
Q96I99,SUCLG2,Homo sapiens
P10124,SRGN,Homo sapiens
O75897,SULT1C4,Homo sapiens
P0CL84,STAG3L2,Homo sapiens
Q92922,SMARCC1,Homo sapiens
Q14515,SPARCL1,Homo sapiens
Q8TCT7,SPPL2B,Homo sapiens
P35321,SPRR1A,Homo sapiens
