Protein,GN,Species
Q15797,SMAD1,Homo sapiens
Q6PI26,SHQ1,Homo sapiens
Q9NRF2,SH2B1,Homo sapiens
Q9H4F8,SMOC1,Homo sapiens
Q13309,SKP2,Homo sapiens
B8ZZ34,SHISA8,Homo sapiens
P12755,SKI,Homo sapiens
Q8N7X2,STPG3,Homo sapiens
Q8TDW4,ST7L,Homo sapiens
P63272,SUPT4H1,Homo sapiens
P61011,SRP54,Homo sapiens
Q8WVM7,STAG1,Homo sapiens
Q9NRC1,ST7,Homo sapiens
Q96JX3,SERAC1,Homo sapiens
Q5VSL9,STRIP1,Homo sapiens
P23327,HRC,Homo sapiens
Q8TE77,SSH3,Homo sapiens
Q9UHV2,SERTAD1,Homo sapiens
P49588,AARS1,Homo sapiens
Q2MJR0,SPRED3,Homo sapiens
Q9HCS7,XAB2,Homo sapiens
P21980,TGM2,Homo sapiens
Q86YL5,TDRP,Homo sapiens
Q01664,TFAP4,Homo sapiens
Q6IPX3,TCEAL6,Homo sapiens
Q9GZM7,TINAGL1,Homo sapiens
P23193,TCEA1,Homo sapiens
Q96A09,TENT5B,Homo sapiens
P40227,CCT6A,Homo sapiens
Q8TBB0,THAP6,Homo sapiens
P57082,TBX4,Homo sapiens
Q9UL17,TBX21,Homo sapiens
Q9UKZ4,TENM1,Homo sapiens
Q9Y5M6,OCLM,Homo sapiens
Q8WWU5,TCP11,Homo sapiens
P08582,MELTF,Homo sapiens
Q96NL1,TMEM74,Homo sapiens
Q5JTD0,TJAP1,Homo sapiens
Q9BZD7,PRRG3,Homo sapiens
P0DTU4,TRB,Homo sapiens
O94811,TPPP,Homo sapiens
P0CI26,TRIM49C,Homo sapiens
Q8N2E6,TOR2A,Homo sapiens
Q9BZY9,TRIM31,Homo sapiens
Q12933,TRAF2,Homo sapiens
Q6ZTA4,TRIM67,Homo sapiens
Q6AZZ1,TRIM68,Homo sapiens
Q9C040,TRIM2,Homo sapiens
P31314,TLX1,Homo sapiens
Q9Y275,TNFSF13B,Homo sapiens
Q5BJD5,TMEM41B,Homo sapiens
